source,target,tgt_lng
Waxed Exposed Cut Copper,涂蜡的斑驳切制铜块,zh-CN
Waxed Exposed Cut Copper Slab,涂蜡的斑驳切制铜台阶,zh-CN
Waxed Exposed Cut Copper Stairs,涂蜡的斑驳切制铜楼梯,zh-CN
Waxed Exposed Lightning Rod,涂蜡的斑驳避雷针,zh-CN
Waxed Lightning Rod,涂蜡的避雷针,zh-CN
Waxed Oxidized Chiseled Copper,涂蜡的氧化雕纹铜块,zh-CN
Waxed Oxidized Copper,涂蜡的氧化铜块,zh-CN
Waxed Oxidized Copper Bars,涂蜡的氧化铜栏杆,zh-CN
Waxed Oxidized Copper Bulb,涂蜡的氧化铜灯,zh-CN
Waxed Oxidized Copper Chain,涂蜡的氧化铜链,zh-CN
Waxed Oxidized Copper Chest,涂蜡的氧化铜箱子,zh-CN
Waxed Oxidized Copper Door,涂蜡的氧化铜门,zh-CN
Waxed Oxidized Copper Golem Statue,涂蜡的氧化铜傀儡像,zh-CN
Waxed Oxidized Copper Grate,涂蜡的氧化铜格栅,zh-CN
Waxed Oxidized Copper Lantern,涂蜡的氧化铜灯笼,zh-CN
Waxed Oxidized Copper Trapdoor,涂蜡的氧化铜活板门,zh-CN
Waxed Oxidized Cut Copper,涂蜡的氧化切制铜块,zh-CN
Waxed Oxidized Cut Copper Slab,涂蜡的氧化切制铜台阶,zh-CN
Waxed Oxidized Cut Copper Stairs,涂蜡的氧化切制铜楼梯,zh-CN
Waxed Oxidized Lightning Rod,涂蜡的氧化避雷针,zh-CN
Waxed Weathered Chiseled Copper,涂蜡的锈蚀雕纹铜块,zh-CN
Waxed Weathered Copper,涂蜡的锈蚀铜块,zh-CN
Waxed Weathered Copper Bars,涂蜡的锈蚀铜栏杆,zh-CN
Waxed Weathered Copper Bulb,涂蜡的锈蚀铜灯,zh-CN
Waxed Weathered Copper Chain,涂蜡的锈蚀铜链,zh-CN
Waxed Weathered Copper Chest,涂蜡的锈蚀铜箱子,zh-CN
Waxed Weathered Copper Door,涂蜡的锈蚀铜门,zh-CN
Waxed Weathered Copper Golem Statue,涂蜡的锈蚀铜傀儡像,zh-CN
Waxed Weathered Copper Grate,涂蜡的锈蚀铜格栅,zh-CN
Waxed Weathered Copper Lantern,涂蜡的锈蚀铜灯笼,zh-CN
Waxed Weathered Copper Trapdoor,涂蜡的锈蚀铜活板门,zh-CN
Waxed Weathered Cut Copper,涂蜡的锈蚀切制铜块,zh-CN
Waxed Weathered Cut Copper Slab,涂蜡的锈蚀切制铜台阶,zh-CN
Waxed Weathered Cut Copper Stairs,涂蜡的锈蚀切制铜楼梯,zh-CN
Waxed Weathered Lightning Rod,涂蜡的锈蚀避雷针,zh-CN
Weathered Chiseled Copper,锈蚀的雕纹铜块,zh-CN
Weathered Copper,锈蚀的铜块,zh-CN
Weathered Copper Bars,锈蚀的铜栏杆,zh-CN
Weathered Copper Bulb,锈蚀的铜灯,zh-CN
Weathered Copper Chain,锈蚀的铜链,zh-CN
Weathered Copper Chest,锈蚀的铜箱子,zh-CN
Weathered Copper Door,锈蚀的铜门,zh-CN
Weathered Copper Golem Statue,锈蚀的铜傀儡像,zh-CN
Weathered Copper Grate,锈蚀的铜格栅,zh-CN
Weathered Copper Lantern,锈蚀的铜灯笼,zh-CN
Weathered Copper Trapdoor,锈蚀的铜活板门,zh-CN
Weathered Cut Copper,锈蚀的切制铜块,zh-CN
Weathered Cut Copper Slab,锈蚀的切制铜台阶,zh-CN
Weathered Cut Copper Stairs,锈蚀的切制铜楼梯,zh-CN
Weathered Lightning Rod,锈蚀的避雷针,zh-CN
Weeping Vines,垂泪藤,zh-CN
Weeping Vines Plant,垂泪藤植株,zh-CN
Weighted Pressure Plate,测重压力板,zh-CN
Wet Sponge,湿海绵,zh-CN
Wheat Crops,小麦植株,zh-CN
White Banner,白色旗帜,zh-CN
White Bed,白色床,zh-CN
White Candle,白色蜡烛,zh-CN
White Carpet,白色地毯,zh-CN
White Concrete,白色混凝土,zh-CN
White Concrete Powder,白色混凝土粉末,zh-CN
White Glazed Terracotta,白色带釉陶瓦,zh-CN
White Shulker Box,白色潜影盒,zh-CN
White Stained Glass,白色染色玻璃,zh-CN
White Stained Glass Pane,白色染色玻璃板,zh-CN
White Terracotta,白色陶瓦,zh-CN
White Tulip,白色郁金香,zh-CN
White Wall Banner,墙上的白色旗帜,zh-CN
White Wool,白色羊毛,zh-CN
Wildflowers,野花簇,zh-CN
Wither Rose,凋灵玫瑰,zh-CN
Wither Skeleton Skull,凋灵骷髅头颅,zh-CN
Wither Skeleton Wall Skull,墙上的凋灵骷髅头颅,zh-CN
Wood,木头,zh-CN
Wool,羊毛,zh-CN
Yellow Banner,黄色旗帜,zh-CN
Yellow Bed,黄色床,zh-CN
Yellow Candle,黄色蜡烛,zh-CN
Yellow Carpet,黄色地毯,zh-CN
Yellow Concrete,黄色混凝土,zh-CN
Yellow Concrete Powder,黄色混凝土粉末,zh-CN
Yellow Glazed Terracotta,黄色带釉陶瓦,zh-CN
Yellow Shulker Box,黄色潜影盒,zh-CN
Yellow Stained Glass,黄色染色玻璃,zh-CN
Yellow Stained Glass Pane,黄色染色玻璃板,zh-CN
Yellow Terracotta,黄色陶瓦,zh-CN
Yellow Wall Banner,墙上的黄色旗帜,zh-CN
Yellow Wool,黄色羊毛,zh-CN
Zombie Head,僵尸的头,zh-CN
Zombie Wall Head,墙上的僵尸的头,zh-CN
Acacia Boat,金合欢木船,zh-CN
Acacia Boat with Chest,金合欢木运输船,zh-CN
Allay Spawn Egg,悦灵刷怪蛋,zh-CN
Amethyst Shard,紫水晶碎片,zh-CN
Angler Pottery Sherd,垂钓纹样陶片,zh-CN
Apple,苹果,zh-CN
Archer Pottery Sherd,弓箭纹样陶片,zh-CN
Armadillo Scute,犰狳鳞甲,zh-CN
Armadillo Spawn Egg,犰狳刷怪蛋,zh-CN
Armor Stand,盔甲架,zh-CN
Arms Up Pottery Sherd,举臂纹样陶片,zh-CN
Arrow,箭,zh-CN
Arrow of Decay,衰变之箭,zh-CN
Arrow of Fire Resistance,抗火之箭,zh-CN
Arrow of Harming,伤害之箭,zh-CN
Arrow of Healing,治疗之箭,zh-CN
Arrow of Infestation,虫蚀之箭,zh-CN
Arrow of Invisibility,隐身之箭,zh-CN
Arrow of Leaping,跳跃之箭,zh-CN
Arrow of Luck,幸运之箭,zh-CN
Arrow of Night Vision,夜视之箭,zh-CN
Arrow of Oozing,渗浆之箭,zh-CN
Arrow of Poison,剧毒之箭,zh-CN
Arrow of Regeneration,再生之箭,zh-CN
Arrow of Slow Falling,缓降之箭,zh-CN
Arrow of Slowness,迟缓之箭,zh-CN
Arrow of Splashing,喷溅之箭,zh-CN
Arrow of Strength,力量之箭,zh-CN
Arrow of Swiftness,迅捷之箭,zh-CN
Arrow of the Turtle Master,神龟之箭,zh-CN
Arrow of Water Breathing,水肺之箭,zh-CN
Arrow of Weakness,虚弱之箭,zh-CN
Arrow of Weaving,盘丝之箭,zh-CN
Arrow of Wind Charging,蓄风之箭,zh-CN
Awkward Lingering Potion,滞留型粗制的药水,zh-CN
Awkward Potion,粗制的药水,zh-CN
Awkward Splash Potion,喷溅型粗制的药水,zh-CN
Axe,斧,zh-CN
Axolotl Spawn Egg,美西螈刷怪蛋,zh-CN
Baked Potato,烤马铃薯,zh-CN
Bamboo Raft,竹筏,zh-CN
Bamboo Raft with Chest,运输竹筏,zh-CN
Banner Pattern,旗帜图案,zh-CN
Bat Spawn Egg,蝙蝠刷怪蛋,zh-CN
Bee Spawn Egg,蜜蜂刷怪蛋,zh-CN
Beetroot,甜菜根,zh-CN
Beetroot Seeds,甜菜种子,zh-CN
Beetroot Soup,甜菜汤,zh-CN
Birch Boat,白桦木船,zh-CN
Birch Boat with Chest,白桦木运输船,zh-CN
Black Bundle,黑色收纳袋,zh-CN
Black Dye,黑色染料,zh-CN
Black Harness,黑色挽具,zh-CN
Blade Pottery Sherd,利刃纹样陶片,zh-CN
Blaze Powder,烈焰粉,zh-CN
Blaze Rod,烈焰棒,zh-CN
Blaze Spawn Egg,烈焰人刷怪蛋,zh-CN
Blue Bundle,蓝色收纳袋,zh-CN
Blue Dye,蓝色染料,zh-CN
Blue Egg,蓝色鸡蛋,zh-CN
Blue Harness,蓝色挽具,zh-CN
Bogged Spawn Egg,沼骸刷怪蛋,zh-CN
Bolt Armor Trim,镶铆盔甲纹饰,zh-CN
Bone,骨头,zh-CN
Bone Meal,骨粉,zh-CN
Book,书,zh-CN
Book And Quill,书与笔,zh-CN
Boots,靴子,zh-CN
Bordure Indented Banner Pattern,波纹边旗帜图案,zh-CN
Bottle o' Enchanting,附魔之瓶,zh-CN
Bow,弓,zh-CN
Bowl,碗,zh-CN
Bread,面包,zh-CN
Breeze Rod,旋风棒,zh-CN
Breeze Spawn Egg,旋风人刷怪蛋,zh-CN
Brewer Pottery Sherd,佳酿纹样陶片,zh-CN
Brick,红砖,zh-CN
Brown Bundle,棕色收纳袋,zh-CN
Brown Dye,棕色染料,zh-CN
Brown Egg,棕色鸡蛋,zh-CN
Brown Harness,棕色挽具,zh-CN
Brush,刷子,zh-CN
Bucket,铁桶,zh-CN
Bucket of Axolotl,美西螈桶,zh-CN
Bucket of Cod,鳕鱼桶,zh-CN
Bucket of Pufferfish,河豚桶,zh-CN
Bucket of Salmon,鲑鱼桶,zh-CN
Bucket of Sulfur Cube,硫方怪桶,zh-CN
Bucket of Tadpole,蝌蚪桶,zh-CN
Bucket of Tropical Fish,热带鱼桶,zh-CN
Bundle,收纳袋,zh-CN
Buried Treasure Map,藏宝图,zh-CN
Burn Pottery Sherd,烈焰纹样陶片,zh-CN
Camel Husk Spawn Egg,骆驼尸壳刷怪蛋,zh-CN
Camel Spawn Egg,骆驼刷怪蛋,zh-CN
Carrot,胡萝卜,zh-CN
Carrot on a Stick,胡萝卜钓竿,zh-CN
Cat Spawn Egg,猫刷怪蛋,zh-CN
Cave Spider Spawn Egg,洞穴蜘蛛刷怪蛋,zh-CN
Chainmail Boots,锁链靴子,zh-CN
Chainmail Chestplate,锁链胸甲,zh-CN
Chainmail Helmet,锁链头盔,zh-CN
Chainmail Leggings,锁链护腿,zh-CN
Charcoal,木炭,zh-CN
Cherry Boat,樱花木船,zh-CN
Cherry Boat with Chest,樱花木运输船,zh-CN
Chestplate,胸甲,zh-CN
Chicken Spawn Egg,鸡刷怪蛋,zh-CN
Chorus Fruit,紫颂果,zh-CN
Clay Ball,黏土球,zh-CN
Clock,时钟,zh-CN
Coal,煤炭,zh-CN
Coast Armor Trim,海岸盔甲纹饰,zh-CN
Cocoa Beans,可可豆,zh-CN
Cod Spawn Egg,鳕鱼刷怪蛋,zh-CN
Compass,指南针,zh-CN
Cooked Chicken,熟鸡肉,zh-CN
Cooked Cod,熟鳕鱼,zh-CN
Cooked Mutton,熟羊肉,zh-CN
Cooked Porkchop,熟猪排,zh-CN
Cooked Rabbit,熟兔肉,zh-CN
Cooked Salmon,熟鲑鱼,zh-CN
Cookie,曲奇,zh-CN
Copper Axe,铜斧,zh-CN
Copper Boots,铜靴子,zh-CN
Copper Chestplate,铜胸甲,zh-CN
Copper Golem Spawn Egg,铜傀儡刷怪蛋,zh-CN
Copper Helmet,铜头盔,zh-CN
Copper Hoe,铜锄,zh-CN
Copper Horse Armor,铜马铠,zh-CN
Copper Ingot,铜锭,zh-CN
Copper Leggings,铜护腿,zh-CN
Copper Nautilus Armor,铜鹦鹉螺铠,zh-CN
Copper Nugget,铜粒,zh-CN
Copper Pickaxe,铜镐,zh-CN
Copper Shovel,铜锹,zh-CN
Copper Spear,铜矛,zh-CN
Copper Sword,铜剑,zh-CN
Cow Spawn Egg,牛刷怪蛋,zh-CN
Creaking Spawn Egg,嘎枝刷怪蛋,zh-CN
Creeper Charge Banner Pattern,苦力怕盾徽旗帜图案,zh-CN
Creeper Spawn Egg,苦力怕刷怪蛋,zh-CN
Crossbow,弩,zh-CN
Cyan Bundle,青色收纳袋,zh-CN
Cyan Dye,青色染料,zh-CN
Cyan Harness,青色挽具,zh-CN
Danger Pottery Sherd,危机纹样陶片,zh-CN
Dark Oak Boat,深色橡木船,zh-CN
Dark Oak Boat with Chest,深色橡木运输船,zh-CN
Debug Stick,调试棒,zh-CN
Desert Village Map,沙漠村庄地图,zh-CN
Diamond,钻石,zh-CN
Diamond Axe,钻石斧,zh-CN
Diamond Boots,钻石靴子,zh-CN
Diamond Chestplate,钻石胸甲,zh-CN
Diamond Helmet,钻石头盔,zh-CN
Diamond Hoe,钻石锄,zh-CN
Diamond Horse Armor,钻石马铠,zh-CN
Diamond Leggings,钻石护腿,zh-CN
Diamond Nautilus Armor,钻石鹦鹉螺铠,zh-CN
Diamond Pickaxe,钻石镐,zh-CN
Diamond Shovel,钻石锹,zh-CN
Diamond Spear,钻石矛,zh-CN
Diamond Sword,钻石剑,zh-CN
Disc Fragment,唱片残片,zh-CN
Dolphin Spawn Egg,海豚刷怪蛋,zh-CN
Donkey Spawn Egg,驴刷怪蛋,zh-CN
Dragon's Breath,龙息,zh-CN
Dried Kelp,干海带,zh-CN
Drowned Spawn Egg,溺尸刷怪蛋,zh-CN
Dune Armor Trim,沙丘盔甲纹饰,zh-CN
Dye,染料,zh-CN
Echo Shard,回响碎片,zh-CN
Egg,鸡蛋,zh-CN
Elder Guardian Spawn Egg,远古守卫者刷怪蛋,zh-CN
Elytra,鞘翅,zh-CN
Emerald,绿宝石,zh-CN
Empty Map,空地图,zh-CN
Enchanted Book,附魔书,zh-CN
Enchanted Golden Apple,附魔金苹果,zh-CN
End Crystal,末地水晶,zh-CN
Ender Dragon Spawn Egg,末影龙刷怪蛋,zh-CN
Ender Pearl,末影珍珠,zh-CN
Enderman Spawn Egg,末影人刷怪蛋,zh-CN
Endermite Spawn Egg,末影螨刷怪蛋,zh-CN
Evoker Spawn Egg,唤魔者刷怪蛋,zh-CN
Explorer Pottery Sherd,探险纹样陶片,zh-CN
Eye Armor Trim,眼眸盔甲纹饰,zh-CN
Eye of Ender,末影之眼,zh-CN
Feather,羽毛,zh-CN
Fermented Spider Eye,发酵蛛眼,zh-CN
Field Masoned Banner Pattern,砖纹旗帜图案,zh-CN
Fire Charge,火焰弹,zh-CN
Firework Rocket,烟花火箭,zh-CN
Firework Star,烟火之星,zh-CN
Fishing Rod,钓鱼竿,zh-CN
Flint,燧石,zh-CN
Flint And Steel,打火石,zh-CN
Flow Armor Trim,涡流盔甲纹饰,zh-CN
Flow Banner Pattern,涡流旗帜图案,zh-CN
Flow Pottery Sherd,涡流纹样陶片,zh-CN
Flower Charge Banner Pattern,花朵盾徽旗帜图案,zh-CN
Fox Spawn Egg,狐狸刷怪蛋,zh-CN
Friend Pottery Sherd,挚友纹样陶片,zh-CN
Frog Spawn Egg,青蛙刷怪蛋,zh-CN
Ghast Spawn Egg,恶魂刷怪蛋,zh-CN
Ghast Tear,恶魂之泪,zh-CN
Glass Bottle,玻璃瓶,zh-CN
Glistering Melon Slice,闪烁的西瓜片,zh-CN
Globe Banner Pattern,地球旗帜图案,zh-CN
Glow Berries,发光浆果,zh-CN
Glow Ink Sac,荧光墨囊,zh-CN
Glow Item Frame,荧光物品展示框,zh-CN
Glow Squid Spawn Egg,发光鱿鱼刷怪蛋,zh-CN
Glowstone Dust,荧石粉,zh-CN
Goat Horn,山羊角,zh-CN
Goat Spawn Egg,山羊刷怪蛋,zh-CN
Gold Ingot,金锭,zh-CN
Gold Nugget,金粒,zh-CN
Golden Apple,金苹果,zh-CN
Golden Axe,金斧,zh-CN
Golden Boots,金靴子,zh-CN
Golden Carrot,金胡萝卜,zh-CN
Golden Chestplate,金胸甲,zh-CN
Golden Helmet,金头盔,zh-CN
Golden Hoe,金锄,zh-CN
Golden Horse Armor,金马铠,zh-CN
Golden Leggings,金护腿,zh-CN
Golden Nautilus Armor,金鹦鹉螺铠,zh-CN
Golden Pickaxe,金镐,zh-CN
Golden Shovel,金锹,zh-CN
Golden Spear,金矛,zh-CN
Golden Sword,金剑,zh-CN
Gray Bundle,灰色收纳袋,zh-CN
Gray Dye,灰色染料,zh-CN
Gray Harness,灰色挽具,zh-CN
Green Bundle,绿色收纳袋,zh-CN
Green Dye,绿色染料,zh-CN
Green Harness,绿色挽具,zh-CN
Guardian Spawn Egg,守卫者刷怪蛋,zh-CN
Gunpowder,火药,zh-CN
Guster Banner Pattern,旋风旗帜图案,zh-CN
Guster Pottery Sherd,旋风纹样陶片,zh-CN
Happy Ghast Spawn Egg,快乐恶魂刷怪蛋,zh-CN
Heart of the Sea,海洋之心,zh-CN
Heart Pottery Sherd,爱心纹样陶片,zh-CN
Heartbreak Pottery Sherd,心碎纹样陶片,zh-CN
Helmet,头盔,zh-CN
Hoe,锄,zh-CN
Hoglin Spawn Egg,疣猪兽刷怪蛋,zh-CN
Honey Bottle,蜂蜜瓶,zh-CN
Honeycomb,蜜脾,zh-CN
Horse Armor,马铠,zh-CN
Horse Spawn Egg,马刷怪蛋,zh-CN
Host Armor Trim,雇主盔甲纹饰,zh-CN
Howl Pottery Sherd,狼嚎纹样陶片,zh-CN
Husk Spawn Egg,尸壳刷怪蛋,zh-CN
Ink Sac,墨囊,zh-CN
Iron Axe,铁斧,zh-CN
Iron Boots,铁靴子,zh-CN
Iron Chestplate,铁胸甲,zh-CN
Iron Golem Spawn Egg,铁傀儡刷怪蛋,zh-CN
Iron Helmet,铁头盔,zh-CN
Iron Hoe,铁锄,zh-CN
Iron Horse Armor,铁马铠,zh-CN
Iron Ingot,铁锭,zh-CN
Iron Leggings,铁护腿,zh-CN
Iron Nautilus Armor,铁鹦鹉螺铠,zh-CN
Iron Nugget,铁粒,zh-CN
Iron Pickaxe,铁镐,zh-CN
Iron Shovel,铁锹,zh-CN
Iron Spear,铁矛,zh-CN
Iron Sword,铁剑,zh-CN
Item Frame,物品展示框,zh-CN
Jungle Boat,丛林木船,zh-CN
Jungle Boat with Chest,丛林木运输船,zh-CN
Jungle Explorer Map,丛林探险家地图,zh-CN
Knowledge Book,知识之书,zh-CN
Lapis Lazuli,青金石,zh-CN
Lava Bucket,熔岩桶,zh-CN
Lead,拴绳,zh-CN
Leather,皮革,zh-CN
Leather Boots,皮革靴子,zh-CN
Leather Cap,皮革帽子,zh-CN
Leather Horse Armor,皮革马铠,zh-CN
Leather Pants,皮革裤子,zh-CN
Leather Tunic,皮革外套,zh-CN
Leggings,护腿,zh-CN
Light Blue Bundle,淡蓝色收纳袋,zh-CN
Light Blue Dye,淡蓝色染料,zh-CN
Light Blue Harness,淡蓝色挽具,zh-CN
Light Gray Bundle,淡灰色收纳袋,zh-CN
Light Gray Dye,淡灰色染料,zh-CN
Light Gray Harness,淡灰色挽具,zh-CN
Lime Bundle,黄绿色收纳袋,zh-CN
Lime Dye,黄绿色染料,zh-CN
Lime Harness,黄绿色挽具,zh-CN
Lingering Potion,滞留药水,zh-CN
Lingering Potion of Fire Resistance,滞留型抗火药水,zh-CN
Lingering Potion of Harming,滞留型伤害药水,zh-CN
Lingering Potion of Healing,滞留型治疗药水,zh-CN
Lingering Potion of Infestation,滞留型虫蚀药水,zh-CN
Lingering Potion of Invisibility,滞留型隐身药水,zh-CN
Lingering Potion of Leaping,滞留型跳跃药水,zh-CN
Lingering Potion of Luck,滞留型幸运药水,zh-CN
Lingering Potion of Night Vision,滞留型夜视药水,zh-CN
Lingering Potion of Oozing,滞留型渗浆药水,zh-CN
Lingering Potion of Poison,滞留型剧毒药水,zh-CN
Lingering Potion of Regeneration,滞留型再生药水,zh-CN
Lingering Potion of Slow Falling,滞留型缓降药水,zh-CN
Lingering Potion of Slowness,滞留型迟缓药水,zh-CN
Lingering Potion of Strength,滞留型力量药水,zh-CN
Lingering Potion of Swiftness,滞留型迅捷药水,zh-CN
Lingering Potion of the Turtle Master,滞留型神龟药水,zh-CN
Lingering Potion of Water Breathing,滞留型水肺药水,zh-CN
Lingering Potion of Weakness,滞留型虚弱药水,zh-CN
Lingering Potion of Weaving,滞留型盘丝药水,zh-CN
Lingering Potion of Wind Charging,滞留型蓄风药水,zh-CN
Lingering Uncraftable Potion,不可合成的滞留型药水,zh-CN
Lingering Water Bottle,滞留型水瓶,zh-CN
Llama Spawn Egg,羊驼刷怪蛋,zh-CN
Lodestone Compass,磁石指针,zh-CN
Mace,重锤,zh-CN
Magenta Bundle,品红色收纳袋,zh-CN
Magenta Dye,品红色染料,zh-CN
Magenta Harness,品红色挽具,zh-CN
Magma Cream,岩浆膏,zh-CN
Magma Cube Spawn Egg,岩浆怪刷怪蛋,zh-CN
Mangrove Boat,红树木船,zh-CN
Mangrove Boat with Chest,红树木运输船,zh-CN
Map,地图,zh-CN
Melon Seeds,西瓜种子,zh-CN
Melon Slice,西瓜片,zh-CN
Milk Bucket,奶桶,zh-CN
Minecart,矿车,zh-CN
Minecart with Chest,运输矿车,zh-CN
Minecart with Command Block,命令方块矿车,zh-CN
Minecart with Furnace,动力矿车,zh-CN
Minecart with Hopper,漏斗矿车,zh-CN
Minecart with TNT,TNT矿车,zh-CN
Miner Pottery Sherd,采矿纹样陶片,zh-CN
Mooshroom Spawn Egg,哞菇刷怪蛋,zh-CN
Mourner Pottery Sherd,悲恸纹样陶片,zh-CN
Mule Spawn Egg,骡刷怪蛋,zh-CN
Mundane Lingering Potion,滞留型平凡的药水,zh-CN
Mundane Potion,平凡的药水,zh-CN
Mundane Splash Potion,喷溅型平凡的药水,zh-CN
Mushroom Stew,蘑菇煲,zh-CN
Music Disc,音乐唱片,zh-CN
Name Tag,命名牌,zh-CN
Nautilus Armor,鹦鹉螺铠,zh-CN
Nautilus Shell,鹦鹉螺壳,zh-CN
Nautilus Spawn Egg,鹦鹉螺刷怪蛋,zh-CN
Nether Brick,下界砖,zh-CN
Nether Quartz,下界石英,zh-CN
Nether Star,下界之星,zh-CN
Netherite Axe,下界合金斧,zh-CN
Netherite Boots,下界合金靴子,zh-CN
Netherite Chestplate,下界合金胸甲,zh-CN
Netherite Helmet,下界合金头盔,zh-CN
Netherite Hoe,下界合金锄,zh-CN
Netherite Horse Armor,下界合金马铠,zh-CN
Netherite Ingot,下界合金锭,zh-CN
Netherite Leggings,下界合金护腿,zh-CN
Netherite Nautilus Armor,下界合金鹦鹉螺铠,zh-CN
Netherite Pickaxe,下界合金镐,zh-CN
Netherite Scrap,下界合金碎片,zh-CN
Netherite Shovel,下界合金锹,zh-CN
Netherite Spear,下界合金矛,zh-CN
Netherite Sword,下界合金剑,zh-CN
Netherite Upgrade,下界合金升级,zh-CN
Oak Boat,橡木船,zh-CN
Oak Boat with Chest,橡木运输船,zh-CN
Ocean Explorer Map,海洋探险家地图,zh-CN
Ocelot Spawn Egg,豹猫刷怪蛋,zh-CN
Ominous Bottle,不祥之瓶,zh-CN
Ominous Trial Key,不祥试炼钥匙,zh-CN
Orange Bundle,橙色收纳袋,zh-CN
Orange Dye,橙色染料,zh-CN
Orange Harness,橙色挽具,zh-CN
Painting,画,zh-CN
Pale Oak Boat,苍白橡木船,zh-CN
Pale Oak Boat with Chest,苍白橡木运输船,zh-CN
Panda Spawn Egg,熊猫刷怪蛋,zh-CN
Paper,纸,zh-CN
Parched Spawn Egg,焦骸刷怪蛋,zh-CN
Parrot Spawn Egg,鹦鹉刷怪蛋,zh-CN
Phantom Membrane,幻翼膜,zh-CN
Phantom Spawn Egg,幻翼刷怪蛋,zh-CN
Pickaxe,镐,zh-CN
Pig Spawn Egg,猪刷怪蛋,zh-CN
Piglin Brute Spawn Egg,猪灵蛮兵刷怪蛋,zh-CN
Piglin Spawn Egg,猪灵刷怪蛋,zh-CN
Pillager Spawn Egg,掠夺者刷怪蛋,zh-CN
Pink Bundle,粉红色收纳袋,zh-CN
Pink Dye,粉红色染料,zh-CN
Pink Harness,粉红色挽具,zh-CN
Pitcher Pod,瓶子草荚果,zh-CN
Plains Village Map,平原村庄地图,zh-CN
Plenty Pottery Sherd,富饶纹样陶片,zh-CN
Poisonous Potato,毒马铃薯,zh-CN
Polar Bear Spawn Egg,北极熊刷怪蛋,zh-CN
Popped Chorus Fruit,爆裂紫颂果,zh-CN
Potato,马铃薯,zh-CN
Potion,药水,zh-CN
Potion of Fire Resistance,抗火药水,zh-CN
Potion of Harming,伤害药水,zh-CN
Potion of Healing,治疗药水,zh-CN
Potion of Infestation,虫蚀药水,zh-CN
Potion of Invisibility,隐身药水,zh-CN
Potion of Leaping,跳跃药水,zh-CN
Potion of Luck,幸运药水,zh-CN
Potion of Night Vision,夜视药水,zh-CN
Potion of Oozing,渗浆药水,zh-CN
Potion of Poison,剧毒药水,zh-CN
Potion of Regeneration,再生药水,zh-CN
Potion of Slow Falling,缓降药水,zh-CN
Potion of Slowness,迟缓药水,zh-CN
Potion of Strength,力量药水,zh-CN
Potion of Swiftness,迅捷药水,zh-CN
Potion of the Turtle Master,神龟药水,zh-CN
Potion of Water Breathing,水肺药水,zh-CN
Potion of Weakness,虚弱药水,zh-CN
Potion of Weaving,盘丝药水,zh-CN
Potion of Wind Charging,蓄风药水,zh-CN
Pottery Sherd,陶片,zh-CN
Powder Snow Bucket,细雪桶,zh-CN
Prismarine Crystals,海晶砂粒,zh-CN
Prismarine Shard,海晶碎片,zh-CN
Prize Pottery Sherd,珍宝纹样陶片,zh-CN
Pufferfish,河豚,zh-CN
Pufferfish Spawn Egg,河豚刷怪蛋,zh-CN
Pumpkin Pie,南瓜派,zh-CN
Pumpkin Seeds,南瓜种子,zh-CN
Purple Bundle,紫色收纳袋,zh-CN
Purple Dye,紫色染料,zh-CN
Purple Harness,紫色挽具,zh-CN
Rabbit Hide,兔子皮,zh-CN
Rabbit Spawn Egg,兔子刷怪蛋,zh-CN
Rabbit Stew,兔肉煲,zh-CN
Rabbit's Foot,兔子脚,zh-CN
Raiser Armor Trim,牧民盔甲纹饰,zh-CN
Ravager Spawn Egg,劫掠兽刷怪蛋,zh-CN
Raw Beef,生牛肉,zh-CN
Raw Chicken,生鸡肉,zh-CN
Raw Cod,生鳕鱼,zh-CN
Raw Copper,粗铜,zh-CN
Raw Gold,粗金,zh-CN
Raw Iron,粗铁,zh-CN
Raw Mutton,生羊肉,zh-CN
Raw Porkchop,生猪排,zh-CN
Raw Rabbit,生兔肉,zh-CN
Raw Salmon,生鲑鱼,zh-CN
Recovery Compass,追溯指针,zh-CN
Red Bundle,红色收纳袋,zh-CN
Red Dye,红色染料,zh-CN
Red Harness,红色挽具,zh-CN
Redstone Dust,红石粉,zh-CN
Resin Brick,树脂砖,zh-CN
Rib Armor Trim,肋骨盔甲纹饰,zh-CN
Rotten Flesh,腐肉,zh-CN
Saddle,鞍,zh-CN
Salmon Spawn Egg,鲑鱼刷怪蛋,zh-CN
Savanna Village Map,热带草原村庄地图,zh-CN
Scrape Pottery Sherd,刮削纹样陶片,zh-CN
Sentry Armor Trim,哨兵盔甲纹饰,zh-CN
Shaper Armor Trim,塑造盔甲纹饰,zh-CN
Sheaf Pottery Sherd,麦捆纹样陶片,zh-CN
Shears,剪刀,zh-CN
Sheep Spawn Egg,绵羊刷怪蛋,zh-CN
Shelter Pottery Sherd,树荫纹样陶片,zh-CN
Shield,盾牌,zh-CN
Shovel,锹,zh-CN
Shulker Shell,潜影壳,zh-CN
Shulker Spawn Egg,潜影贝刷怪蛋,zh-CN
Silence Armor Trim,幽静盔甲纹饰,zh-CN
Silverfish Spawn Egg,蠹虫刷怪蛋,zh-CN
Skeleton Horse Spawn Egg,骷髅马刷怪蛋,zh-CN
Skeleton Spawn Egg,骷髅刷怪蛋,zh-CN
Skull Charge Banner Pattern,头颅盾徽旗帜图案,zh-CN
Skull Pottery Sherd,头颅纹样陶片,zh-CN
Slime Spawn Egg,史莱姆刷怪蛋,zh-CN
Slimeball,黏液球,zh-CN
